ID_subregion,year,p3501-produkt-krajowy-brutto-na-1-mieszkańca
051011800000,2014,30308
051011800000,2015,31662
051011800000,2016,33451
051011800000,2017,36002
051011800000,2018,36621
051011800000,2019,40762
051011900000,2000,13954
051011900000,2001,14014
051011900000,2002,15900
051011900000,2003,16534
051011900000,2004,18317
051011900000,2005,19457
051011900000,2006,20912
051011900000,2007,23513
051011900000,2008,25268
051011900000,2009,25344
051011900000,2010,26424
051011900000,2011,29162
051011900000,2012,30348
051011900000,2013,31370
051011900000,2014,32604
051011900000,2015,33186
051011900000,2016,35400
051011900000,2017,37606
051011900000,2018,38639
051011900000,2019,42375
052615200000,2000,16292
052615200000,2001,16991
052615200000,2002,17996
052615200000,2003,19021
052615200000,2004,21012
052615200000,2005,21423
052615200000,2006,23578
052615200000,2007,26696
052615200000,2008,29977
052615200000,2009,30319
052615200000,2010,31194
052615200000,2011,33385
052615200000,2012,34300
052615200000,2013,34262
052615200000,2014,35426
052615200000,2015,36997
052615200000,2016,37983
052615200000,2017,40543
052615200000,2018,43739
052615200000,2019,46173
052615300000,2000,13669
052615300000,2001,14312
052615300000,2002,15020
052615300000,2003,15797
052615300000,2004,17019
052615300000,2005,17543
052615300000,2006,19311
052615300000,2007,21679
052615300000,2008,24184
052615300000,2009,24560
052615300000,2010,25591
052615300000,2011,27180
052615300000,2012,27353
052615300000,2013,26692
052615300000,2014,28166
052615300000,2015,29149
052615300000,2016,29682
052615300000,2017,31496
052615300000,2018,33861
052615300000,2019,36930
060610900000,2000,12176
060610900000,2001,13666
060610900000,2002,13393
060610900000,2003,14112
060610900000,2004,14953
060610900000,2005,15656
060610900000,2006,16922
060610900000,2007,19260
060610900000,2008,20694
060610900000,2009,21161
060610900000,2010,22857
060610900000,2011,25167
060610900000,2012,25587
060610900000,2013,26390
060610900000,2014,26973
060610900000,2015,27722
060610900000,2016,29041
060610900000,2017,31159
060610900000,2018,33147
060610900000,2019,35289
060611000000,2000,12094
060611000000,2001,12969
060611000000,2002,13263
060611000000,2003,13828
060611000000,2004,15010
060611000000,2005,15932
060611000000,2006,17186
060611000000,2007,19203
060611000000,2008,20629
060611000000,2009,20811
060611000000,2010,22156
060611000000,2011,23544
060611000000,2012,23685
060611000000,2013,23804
060611000000,2014,24258
060611000000,2015,24725
060611000000,2016,25956
060611000000,2017,27877
060611000000,2018,28359
060611000000,2019,30879
060611100000,2000,17552
060611100000,2001,18691
060611100000,2002,19453
060611100000,2003,20063
060611100000,2004,21380
060611100000,2005,22166
060611100000,2006,23767
060611100000,2007,26769
060611100000,2008,29889
060611100000,2009,31849
060611100000,2010,33487
060611100000,2011,35781
060611100000,2012,38814
060611100000,2013,40377
060611100000,2014,42108
060611100000,2015,42926
060611100000,2016,44722
060611100000,2017,47642
060611100000,2018,50226
060611100000,2019,54618
060611200000,2000,12683
060611200000,2001,12934
060611200000,2002,13515
060611200000,2003,14466
060611200000,2004,16071
060611200000,2005,17013
060611200000,2006,17480
060611200000,2007,19470
060611200000,2008,21831
060611200000,2009,20872
060611200000,2010,22197
060611200000,2011,25735
060611200000,2012,26441
060611200000,2013,26727
060611200000,2014,27002
060611200000,2015,29264
060611200000,2016,29889
060611200000,2017,31968
060611200000,2018,33115
060611200000,2019,36442
061813300000,2000,13617
061813300000,2001,13943
061813300000,2002,14044
061813300000,2003,14925
061813300000,2004,15937
061813300000,2005,16781
061813300000,2006,18311
061813300000,2007,19839
061813300000,2008,21419
061813300000,2009,22220
061813300000,2010,22854
061813300000,2011,24953
061813300000,2012,25461
061813300000,2013,25907
061813300000,2014,27076
061813300000,2015,27735
061813300000,2016,28124
061813300000,2017,30235
061813300000,2018,32231
061813300000,2019,34384
061813400000,2000,12688
061813400000,2001,13585
061813400000,2002,14107
061813400000,2003,14488
061813400000,2004,15280
061813400000,2005,16185
061813400000,2006,17326
061813400000,2007,18640
061813400000,2008,20098
061813400000,2009,20158
061813400000,2010,20820
061813400000,2011,22467
061813400000,2012,22748
061813400000,2013,23074
061813400000,2014,24000
061813400000,2015,24794
061813400000,2016,25743
061813400000,2017,27073
061813400000,2018,28690
061813400000,2019,30961
061813500000,2000,15489
061813500000,2001,16822
061813500000,2002,17561
061813500000,2003,18052
061813500000,2004,19375
061813500000,2005,20804
061813500000,2006,21885
061813500000,2007,24074
061813500000,2008,27586
061813500000,2009,29710
061813500000,2010,31310
061813500000,2011,34429
061813500000,2012,36489
061813500000,2013,37609
061813500000,2014,38854
061813500000,2015,41776
061813500000,2016,42570
061813500000,2017,44918
061813500000,2018,48721
061813500000,2019,53082
061813600000,2000,14475
061813600000,2001,15256
061813600000,2002,16427
061813600000,2003,17745
061813600000,2004,19159
061813600000,2005,19746
061813600000,2006,21247
061813600000,2007,23595
061813600000,2008,25545
061813600000,2009,26120
061813600000,2010,27208
061813600000,2011,29438
061813600000,2012,29934
061813600000,2013,31509
061813600000,2014,32565
061813600000,2015,34359
061813600000,2016,35956
061813600000,2017,37633
061813600000,2018,40821
061813600000,2019,44146
062013700000,2000,17086
062013700000,2001,18546
062013700000,2002,19022
062013700000,2003,19810
062013700000,2004,21085
062013700000,2005,22186
062013700000,2006,24005
062013700000,2007,27179
062013700000,2008,29075
062013700000,2009,30704
062013700000,2010,32120
062013700000,2011,34313
062013700000,2012,35737
062013700000,2013,36224
062013700000,2014,37435
062013700000,2015,38742
062013700000,2016,39959
062013700000,2017,42466
062013700000,2018,45372
062013700000,2019,49508
062013800000,2000,12220
062013800000,2001,13473
062013800000,2002,13565
062013800000,2003,13834
062013800000,2004,15433
062013800000,2005,16748
062013800000,2006,17554
062013800000,2007,19637
062013800000,2008,21226
062013800000,2009,22708
062013800000,2010,24366
062013800000,2011,26630
062013800000,2012,26372
062013800000,2013,27867
062013800000,2014,29068
