ID_powiatu,year,p3350-stopień-wykorzystania-miejsc-noclegowych
020811408000,2016,31.8
020811408000,2017,30.1
020811408000,2018,33.7
020811408000,2019,32.1
020811408000,2020,20.7
020811409000,2010,26.8
020811409000,2011,24.7
020811409000,2012,23.6
020811409000,2013,22.8
020811409000,2014,18.9
020811409000,2015,23.0
020811409000,2016,23.4
020811409000,2017,25.0
020811409000,2018,23.0
020811409000,2019,21.0
020811409000,2020,15.3
020811410000,2010,32.5
020811410000,2011,30.2
020811410000,2012,33.3
020811410000,2013,39.0
020811410000,2014,30.6
020811410000,2015,34.3
020811410000,2016,35.3
020811410000,2017,40.0
020811410000,2018,41.2
020811410000,2019,39.1
020811410000,2020,24.2
020811411000,2010,22.2
020811411000,2011,23.7
020811411000,2012,20.1
020811411000,2013,18.0
020811411000,2014,20.4
020811411000,2015,19.0
020811411000,2016,21.9
020811411000,2017,19.9
020811411000,2018,23.4
020811411000,2019,24.8
020811411000,2020,18.6
020811412000,2010,27.3
020811412000,2011,28.5
020811412000,2012,24.8
020811412000,2013,24.3
020811412000,2014,23.7
020811412000,2015,26.6
020811412000,2016,30.5
020811412000,2017,26.4
020811412000,2018,27.1
020811412000,2019,27.7
020811412000,2020,26.0
020811462000,2010,22.5
020811462000,2011,25.0
020811462000,2012,29.0
020811462000,2013,25.9
020811462000,2014,27.9
020811462000,2015,29.0
020811462000,2016,29.8
020811462000,2017,30.9
020811462000,2018,30.1
020811462000,2019,35.2
020811462000,2020,21.3
023015706000,2010,18.5
023015706000,2011,26.5
023015706000,2012,26.6
023015706000,2013,24.6
023015706000,2014,24.3
023015706000,2015,25.7
023015706000,2016,23.6
023015706000,2017,27.5
023015706000,2018,26.5
023015706000,2019,28.0
023015706000,2020,26.8
023015707000,2010,12.5
023015707000,2011,13.7
023015707000,2012,13.8
023015707000,2013,14.2
023015707000,2014,15.9
023015707000,2015,17.2
023015707000,2016,18.1
023015707000,2017,17.0
023015707000,2018,17.7
023015707000,2019,17.5
023015707000,2020,14.1
023015708000,2010,19.6
023015708000,2011,16.5
023015708000,2012,20.5
023015708000,2013,14.3
023015708000,2014,13.5
023015708000,2015,11.9
023015708000,2016,18.3
023015708000,2017,15.2
023015708000,2018,15.8
023015708000,2019,18.7
023015708000,2020,16.2
023015712000,2010,24.9
023015712000,2011,23.1
023015712000,2012,20.9
023015712000,2013,21.5
023015712000,2014,23.5
023015712000,2015,27.2
023015712000,2016,22.7
023015712000,2017,26.0
023015712000,2018,26.5
023015712000,2019,24.6
023015712000,2020,14.7
023015717000,2010,23.8
023015717000,2011,26.6
023015717000,2012,26.0
023015717000,2013,26.1
