ID_powiatu,year,p2759-turyści-zagraniczni-nierezydenci-ogółem
012415001000,2018,26216
012415001000,2019,22562
012415001000,2020,5316
012415016000,2005,1903
012415016000,2006,2044
012415016000,2007,1861
012415016000,2008,1616
012415016000,2009,1509
012415016000,2010,1849
012415016000,2011,1656
012415016000,2012,1325
012415016000,2013,1266
012415016000,2014,1158
012415016000,2015,894
012415016000,2016,1394
012415016000,2017,2193
012415016000,2018,2661
012415016000,2019,2940
012415016000,2020,557
012415065000,2005,50
012415065000,2006,19
012415065000,2007,8
012415065000,2008,28
012415065000,2009,802
012415065000,2010,1241
012415065000,2011,1143
012415065000,2012,820
012415065000,2013,1295
012415065000,2014,1359
012415065000,2015,1050
012415065000,2016,1472
012415065000,2017,6355
012415065000,2018,16796
012415065000,2019,14069
012415065000,2020,3461
012415068000,2005,2937
012415068000,2006,2907
012415068000,2007,3450
012415068000,2008,3131
012415068000,2009,2173
012415068000,2010,1444
012415068000,2011,1310
012415068000,2012,1348
012415068000,2013,1109
012415068000,2014,4411
012415068000,2015,5623
012415068000,2016,5670
012415068000,2017,5547
012415068000,2018,5705
012415068000,2019,7623
012415068000,2020,1654
012415075000,2005,9943
012415075000,2006,9334
012415075000,2007,9311
012415075000,2008,8502
012415075000,2009,6055
012415075000,2010,5518
012415075000,2011,5399
012415075000,2012,3290
012415075000,2013,3166
012415075000,2014,4214
012415075000,2015,4713
012415075000,2016,4272
012415075000,2017,4640
012415075000,2018,5323
012415075000,2019,4531
012415075000,2020,1598
012415108000,2005,1200
012415108000,2006,1201
012415108000,2007,1008
012415108000,2008,947
012415108000,2009,1139
012415108000,2010,856
012415108000,2011,966
012415108000,2012,942
012415108000,2013,993
012415108000,2014,1300
012415108000,2015,1519
012415108000,2016,1531
012415108000,2017,2246
012415108000,2018,2115
012415108000,2019,2577
012415108000,2020,583
012415110000,2005,1832
012415110000,2006,1698
012415110000,2007,1805
012415110000,2008,1270
012415110000,2009,1987
012415110000,2010,3688
012415110000,2011,5193
012415110000,2012,3499
012415110000,2013,4085
012415110000,2014,4535
012415110000,2015,4163
012415110000,2016,5925
012415110000,2017,5027
012415110000,2018,5348
012415110000,2019,3580
012415110000,2020,1269
012415114000,2005,145
012415114000,2006,192
012415114000,2007,314
012415114000,2008,255
012415114000,2009,546
012415114000,2010,348
012415114000,2011,84
012415114000,2012,419
012415114000,2013,224
012415114000,2014,506
012415114000,2015,733
012415114000,2016,1846
012415114000,2017,1941
012415114000,2018,1738
012415114000,2019,1193
012415114000,2020,147
012415177000,2005,7298
012415177000,2006,10145
012415177000,2007,12247
012415177000,2008,16998
012415177000,2009,13086
012415177000,2010,13107
012415177000,2011,13373
012415177000,2012,12813
012415177000,2013,11053
012415177000,2014,12063
012415177000,2015,15389
012415177000,2016,17189
012415177000,2017,16794
012415177000,2018,15525
012415177000,2019,15777
012415177000,2020,3244
020811301000,2005,2929
020811301000,2006,4115
020811301000,2007,4137
020811301000,2008,3119
020811301000,2009,3175
020811301000,2010,3056
020811301000,2011,3797
020811301000,2012,4356
020811301000,2013,6533
020811301000,2014,8995
020811301000,2015,7777
020811301000,2016,4492
020811301000,2017,4160
020811301000,2018,3899
020811301000,2019,4780
020811301000,2020,2436
020811303000,2005,7763
020811303000,2006,8925
020811303000,2007,16386
020811303000,2008,17264
020811303000,2009,14862
020811303000,2010,14710
020811303000,2011,17468
020811303000,2012,11450
020811303000,2013,8080
020811303000,2014,7704
020811303000,2015,6838
020811303000,2016,8408
020811303000,2017,8948
020811303000,2018,9376
020811303000,2019,9039
020811303000,2020,3382
020811305000,2005,50936
020811305000,2006,57545
020811305000,2007,54538
020811305000,2008,50582
020811305000,2009,28038
020811305000,2010,30404
020811305000,2011,34247
020811305000,2012,37718
020811305000,2013,36216
020811305000,2014,29952
020811305000,2015,34756
020811305000,2016,35564
020811305000,2017,43907
020811305000,2018,51722
020811305000,2019,58392
020811305000,2020,27582
020811306000,2005,643
020811306000,2006,933
020811306000,2007,2184
020811306000,2008,2149
020811306000,2009,1673
020811306000,2010,2414
020811306000,2011,2379
020811306000,2012,2210
020811306000,2013,2418
020811306000,2014,1965
020811306000,2015,2144
020811306000,2016,2450
020811306000,2017,2388
020811306000,2018,2116
020811306000,2019,1528
020811306000,2020,459
020811307000,2005,15931
020811307000,2006,20190
020811307000,2007,23378
020811307000,2008,29943
020811307000,2009,23936
020811307000,2010,17392
020811307000,2011,20782
020811307000,2012,20908
020811307000,2013,22491
020811307000,2014,18352
020811307000,2015,19353
020811307000,2016,20228
020811307000,2017,17656
020811307000,2018,16337
020811307000,2019,16312
020811307000,2020,7111
020811361000,2005,18432
020811361000,2006,18244
020811361000,2007,18524
020811361000,2008,15981
020811361000,2009,10105
020811361000,2010,10804
020811361000,2011,13191
020811361000,2012,15465
