ID_powiatu,year,p2013-hotele-4-i-5-gwiazdkowemotelepensjonaty-w-ogólnej-liczbie-hotelimotelipensjonatów-ogółem
012415065000,2009,33.33
012415065000,2010,0.0
012415065000,2011,0.0
012415065000,2012,0.0
012415065000,2013,0.0
012415065000,2014,0.0
012415065000,2015,0.0
012415065000,2016,0.0
012415065000,2017,25.0
012415065000,2018,20.0
012415065000,2019,20.0
012415065000,2020,0.0
012415068000,2002,0.0
012415068000,2003,0.0
012415068000,2004,0.0
012415068000,2005,0.0
012415068000,2006,0.0
012415068000,2007,0.0
012415068000,2008,0.0
012415068000,2009,0.0
012415068000,2010,0.0
012415068000,2011,0.0
012415068000,2012,0.0
012415068000,2013,0.0
012415068000,2014,0.0
012415068000,2015,0.0
012415068000,2016,0.0
012415068000,2017,0.0
012415068000,2018,0.0
012415068000,2019,0.0
012415068000,2020,0.0
012415075000,2002,0.0
012415075000,2003,0.0
012415075000,2004,0.0
012415075000,2005,0.0
012415075000,2006,0.0
012415075000,2007,0.0
012415075000,2008,0.0
012415075000,2009,0.0
012415075000,2010,0.0
012415075000,2011,0.0
012415075000,2012,0.0
012415075000,2013,0.0
012415075000,2014,0.0
012415075000,2015,0.0
012415075000,2016,0.0
012415075000,2017,0.0
012415075000,2018,0.0
012415075000,2019,0.0
012415075000,2020,0.0
012415108000,2002,0.0
012415108000,2003,0.0
012415108000,2004,50.0
012415108000,2005,50.0
012415108000,2006,50.0
012415108000,2007,50.0
012415108000,2008,25.0
012415108000,2009,16.67
012415108000,2010,0.0
012415108000,2011,0.0
012415108000,2012,0.0
012415108000,2013,0.0
012415108000,2014,0.0
012415108000,2015,0.0
012415108000,2016,0.0
012415108000,2017,0.0
012415108000,2018,0.0
012415108000,2019,0.0
012415108000,2020,0.0
012415110000,2002,33.33
012415110000,2003,0.0
012415110000,2004,33.33
012415110000,2005,33.33
012415110000,2006,33.33
012415110000,2007,33.33
012415110000,2008,33.33
012415110000,2009,16.67
012415110000,2010,12.5
012415110000,2011,12.5
012415110000,2012,11.11
012415110000,2013,11.11
012415110000,2014,18.18
012415110000,2015,20.0
012415110000,2016,18.18
012415110000,2017,18.18
012415110000,2018,10.0
