ID_powiatu,year,p2596-zieleńce-obiekty
020811412000,2008,53
020811412000,2009,59
020811412000,2010,62
020811412000,2011,63
020811412000,2012,63
020811412000,2013,63
020811412000,2014,63
020811412000,2015,63
020811412000,2016,64
020811412000,2017,64
020811412000,2018,64
020811412000,2019,64
020811412000,2020,64
020811462000,2004,23
020811462000,2005,23
020811462000,2006,23
020811462000,2007,23
020811462000,2008,19
020811462000,2009,19
020811462000,2010,19
020811462000,2011,19
020811462000,2012,19
020811462000,2013,19
020811462000,2014,19
020811462000,2015,19
020811462000,2016,19
020811462000,2017,19
020811462000,2018,19
020811462000,2019,19
020811462000,2020,19
023015706000,2004,16
023015706000,2005,16
023015706000,2006,16
023015706000,2007,16
023015706000,2008,16
023015706000,2009,16
023015706000,2010,16
023015706000,2011,16
023015706000,2012,16
023015706000,2013,16
023015706000,2014,16
023015706000,2015,16
023015706000,2016,16
023015706000,2017,16
023015706000,2018,16
023015706000,2019,16
023015706000,2020,23
023015707000,2004,8
023015707000,2005,9
023015707000,2006,9
023015707000,2007,10
023015707000,2008,10
023015707000,2009,12
023015707000,2010,12
023015707000,2011,12
023015707000,2012,11
023015707000,2013,11
023015707000,2014,11
023015707000,2015,11
023015707000,2016,11
023015707000,2017,11
023015707000,2018,11
023015707000,2019,11
023015707000,2020,11
023015708000,2004,30
023015708000,2005,32
023015708000,2006,40
023015708000,2007,40
023015708000,2008,40
023015708000,2009,40
023015708000,2010,40
023015708000,2011,40
023015708000,2012,40
023015708000,2013,40
023015708000,2014,40
023015708000,2015,40
023015708000,2016,40
023015708000,2017,40
023015708000,2018,40
023015708000,2019,40
023015708000,2020,40
023015712000,2004,63
023015712000,2005,63
023015712000,2006,63
023015712000,2007,63
023015712000,2008,62
023015712000,2009,63
023015712000,2010,63
023015712000,2011,64
023015712000,2012,67
023015712000,2013,67
023015712000,2014,67
023015712000,2015,67
023015712000,2016,67
023015712000,2017,67
023015712000,2018,67
023015712000,2019,67
023015712000,2020,68
023015717000,2004,41
023015717000,2005,41
023015717000,2006,40
023015717000,2007,41
023015717000,2008,40
023015717000,2009,40
023015717000,2010,40
023015717000,2011,44
023015717000,2012,44
023015717000,2013,44
023015717000,2014,45
023015717000,2015,46
023015717000,2016,46
023015717000,2017,46
023015717000,2018,52
023015717000,2019,52
023015717000,2020,67
023015718000,2004,17
023015718000,2005,18
023015718000,2006,18
023015718000,2007,18
023015718000,2008,19
023015718000,2009,20
023015718000,2010,20
023015718000,2011,20
023015718000,2012,20
023015718000,2013,20
023015718000,2014,21
023015718000,2015,21
023015718000,2016,21
023015718000,2017,22
023015718000,2018,22
023015718000,2019,22
023015718000,2020,22
023015720000,2004,27
023015720000,2005,26
023015720000,2006,26
023015720000,2007,26
023015720000,2008,26
023015720000,2009,27
023015720000,2010,27
023015720000,2011,27
023015720000,2012,27
023015720000,2013,30
023015720000,2014,30
023015720000,2015,30
023015720000,2016,30
023015720000,2017,30
023015720000,2018,37
023015720000,2019,39
023015720000,2020,76
023015761000,2004,194
023015761000,2005,194
023015761000,2006,194
023015761000,2007,194
023015761000,2008,194
023015761000,2009,184
023015761000,2010,184
023015761000,2011,184
023015761000,2012,184
023015761000,2013,184
023015761000,2014,184
023015761000,2015,184
023015761000,2016,184
023015761000,2017,184
023015761000,2018,184
023015761000,2019,184
023015761000,2020,184
023015803000,2004,56
023015803000,2005,48
023015803000,2006,53
023015803000,2007,53
023015803000,2008,55
023015803000,2009,55
023015803000,2010,54
023015803000,2011,54
023015803000,2012,54
023015803000,2013,54
023015803000,2014,54
023015803000,2015,54
023015803000,2016,54
023015803000,2017,54
023015803000,2018,58
023015803000,2019,58
023015803000,2020,58
023015809000,2004,25
023015809000,2005,25
023015809000,2006,29
023015809000,2007,29
023015809000,2008,30
023015809000,2009,29
023015809000,2010,30
023015809000,2011,30
023015809000,2012,30
023015809000,2013,31
