ID_powiatu,year,p2596-parki-spacerowo-wypoczynkowe-obiekty
051011508000,2006,8
051011508000,2007,8
051011508000,2008,8
051011508000,2009,8
051011508000,2010,8
051011508000,2011,8
051011508000,2012,8
051011508000,2013,8
051011508000,2014,8
051011508000,2015,8
051011508000,2016,8
051011508000,2017,8
051011508000,2018,8
051011508000,2019,8
051011508000,2020,8
051011520000,2004,7
051011520000,2005,8
051011520000,2006,8
051011520000,2007,8
051011520000,2008,8
051011520000,2009,8
051011520000,2010,8
051011520000,2011,8
051011520000,2012,8
051011520000,2013,8
051011520000,2014,8
051011520000,2015,8
051011520000,2016,8
051011520000,2017,8
051011520000,2018,8
051011520000,2019,8
051011520000,2020,8
051011521000,2004,3
051011521000,2005,3
051011521000,2006,2
051011521000,2007,2
051011521000,2008,2
051011521000,2009,2
051011521000,2010,2
051011521000,2011,2
051011521000,2012,2
051011521000,2013,2
051011521000,2014,2
051011521000,2015,2
051011521000,2016,2
051011521000,2017,2
051011521000,2018,2
051011521000,2019,2
051011521000,2020,2
051011661000,2004,36
051011661000,2005,36
051011661000,2006,37
051011661000,2007,40
051011661000,2008,39
051011661000,2009,39
051011661000,2010,41
051011661000,2011,41
051011661000,2012,42
051011661000,2013,42
051011661000,2014,43
051011661000,2015,43
051011661000,2016,43
051011661000,2017,43
051011661000,2018,42
051011661000,2019,42
051011661000,2020,42
051011701000,2004,7
051011701000,2005,7
051011701000,2006,8
051011701000,2007,8
051011701000,2008,8
051011701000,2009,9
051011701000,2010,9
051011701000,2011,9
051011701000,2012,9
051011701000,2013,9
051011701000,2014,9
051011701000,2015,9
051011701000,2016,9
051011701000,2017,9
051011701000,2018,9
051011701000,2019,9
051011701000,2020,9
051011707000,2004,1
051011707000,2005,2
051011707000,2006,2
051011707000,2007,2
051011707000,2008,2
051011707000,2009,2
051011707000,2010,2
051011707000,2011,2
051011707000,2012,2
051011707000,2013,2
051011707000,2014,2
051011707000,2015,2
051011707000,2016,2
051011707000,2017,2
051011707000,2018,2
051011707000,2019,2
051011707000,2020,2
051011710000,2004,1
051011710000,2005,2
051011710000,2006,2
051011710000,2007,2
051011710000,2008,2
051011710000,2009,2
051011710000,2010,2
051011710000,2011,2
051011710000,2012,2
051011710000,2013,2
051011710000,2014,2
