ID_powiatu,year,p2497-przeciętne-miesięczne-wynagrodzenia-brutto-w-relacji-do-średniej-krajowej-polska100
012414870000,2009,84.3
012414870000,2010,86.2
012414870000,2011,91.2
012414870000,2012,92.5
012414870000,2013,93.3
012414870000,2014,92.5
012414870000,2015,91.3
012414870000,2016,90.3
012414870000,2017,90.0
012414870000,2018,88.8
012414870000,2019,89.3
012414870000,2020,86.2
012414872000,2002,123.1
012414872000,2003,102.6
012414872000,2004,85.5
012414872000,2005,85.4
012414872000,2006,88.2
012414872000,2007,87.6
012414872000,2008,87.9
012414872000,2009,87.1
012414872000,2010,86.2
012414872000,2011,87.7
012414872000,2012,88.4
012414872000,2013,87.6
012414872000,2014,85.9
012414872000,2015,86.2
012414872000,2016,86.7
012414872000,2017,86.3
012414872000,2018,84.4
012414872000,2019,85.4
012414872000,2020,87.2
012414874000,2002,86.9
012414874000,2003,87.7
012414874000,2004,84.7
012414874000,2005,85.5
012414874000,2006,90.8
012414874000,2007,90.2
012414874000,2008,91.0
012414874000,2009,89.3
012414874000,2010,89.4
012414874000,2011,89.2
012414874000,2012,89.2
012414874000,2013,89.5
012414874000,2014,90.6
012414874000,2015,89.2
012414874000,2016,89.6
012414874000,2017,90.9
012414874000,2018,90.6
012414874000,2019,90.2
012414874000,2020,90.6
012414876000,2002,85.8
012414876000,2003,83.2
012414876000,2004,84.5
012414876000,2005,84.1
012414876000,2006,83.9
012414876000,2007,83.1
012414876000,2008,79.4
012414876000,2009,79.3
012414876000,2010,77.8
012414876000,2011,76.0
012414876000,2012,78.1
012414876000,2013,78.0
012414876000,2014,78.5
012414876000,2015,78.6
012414876000,2016,78.2
012414876000,2017,79.4
012414876000,2018,81.0
012414876000,2019,83.3
012414876000,2020,83.4
012414911000,2002,81.3
012414911000,2003,85.4
012414911000,2004,87.4
012414911000,2005,86.0
012414911000,2006,85.9
012414911000,2007,87.2
012414911000,2008,89.6
012414911000,2009,88.0
012414911000,2010,87.8
012414911000,2011,88.1
012414911000,2012,89.3
012414911000,2013,88.3
012414911000,2014,89.4
012414911000,2015,90.0
012414911000,2016,90.1
012414911000,2017,91.5
012414911000,2018,92.9
012414911000,2019,92.9
012414911000,2020,94.1
012414912000,2002,88.2
012414912000,2003,87.2
012414912000,2004,87.6
012414912000,2005,85.8
012414912000,2006,83.4
012414912000,2007,82.3
012414912000,2008,80.2
012414912000,2009,83.8
012414912000,2010,83.4
012414912000,2011,85.8
012414912000,2012,85.9
012414912000,2013,86.3
012414912000,2014,87.6
012414912000,2015,87.3
012414912000,2016,85.9
012414912000,2017,91.2
012414912000,2018,84.3
012414912000,2019,85.3
012414912000,2020,84.9
012414915000,2002,75.4
012414915000,2003,75.2
012414915000,2004,75.2
012414915000,2005,75.8
012414915000,2006,74.9
012414915000,2007,74.2
012414915000,2008,74.3
012414915000,2009,75.3
012414915000,2010,75.8
012414915000,2011,75.2
012414915000,2012,77.6
012414915000,2013,77.4
012414915000,2014,78.4
012414915000,2015,77.4
012414915000,2016,76.0
012414915000,2017,76.2
012414915000,2018,77.1
012414915000,2019,77.8
012414915000,2020,78.3
012414967000,2002,136.8
012414967000,2003,138.1
012414967000,2004,141.5
012414967000,2005,150.4
012414967000,2006,150.4
012414967000,2007,150.7
012414967000,2008,152.7
012414967000,2009,146.3
012414967000,2010,151.8
012414967000,2011,174.5
012414967000,2012,159.6
012414967000,2013,164.7
012414967000,2014,163.3
012414967000,2015,149.0
012414967000,2016,142.9
012414967000,2017,146.0
012414967000,2018,168.0
012414967000,2019,162.9
012414967000,2020,151.7
012414973000,2002,125.7
012414973000,2003,107.1
012414973000,2004,93.1
012414973000,2005,93.3
012414973000,2006,92.8
012414973000,2007,92.4
012414973000,2008,93.9
012414973000,2009,93.9
012414973000,2010,93.9
012414973000,2011,92.5
012414973000,2012,92.4
012414973000,2013,90.5
012414973000,2014,90.1
012414973000,2015,90.6
012414973000,2016,90.5
012414973000,2017,91.0
012414973000,2018,91.0
012414973000,2019,92.3
012414973000,2020,90.3
012414979000,2002,76.8
012414979000,2003,77.3
012414979000,2004,78.9
012414979000,2005,76.3
012414979000,2006,74.5
012414979000,2007,74.4
012414979000,2008,76.3
012414979000,2009,77.6
012414979000,2010,85.8
012414979000,2011,84.9
012414979000,2012,86.1
012414979000,2013,87.5
012414979000,2014,88.3
012414979000,2015,87.1
012414979000,2016,87.4
012414979000,2017,85.9
012414979000,2018,88.2
012414979000,2019,88.3
012414979000,2020,86.6
012415001000,2002,88.0
012415001000,2003,89.7
012415001000,2004,87.6
012415001000,2005,83.9
012415001000,2006,84.9
012415001000,2007,82.7
012415001000,2008,81.7
012415001000,2009,82.5
012415001000,2010,83.9
012415001000,2011,83.3
012415001000,2012,81.8
012415001000,2013,83.3
012415001000,2014,81.9
012415001000,2015,83.1
012415001000,2016,83.6
012415001000,2017,84.4
012415001000,2018,84.1
012415001000,2019,84.1
012415001000,2020,84.1
012415016000,2002,83.0
012415016000,2003,83.4
