ID_powiatu,year,p2759-turyści-zagraniczni-nierezydenci-pozostałe-kraje
012415016000,2011,226
012415016000,2012,133
012415016000,2013,169
012415016000,2014,103
012415016000,2015,95
012415016000,2016,164
012415016000,2017,93
012415016000,2018,251
012415016000,2019,212
012415016000,2020,59
012415065000,2005,1
012415065000,2006,2
012415065000,2007,0
012415065000,2008,0
012415065000,2009,69
012415065000,2010,79
012415065000,2011,53
012415065000,2012,96
012415065000,2013,113
012415065000,2014,87
012415065000,2015,57
012415065000,2016,93
012415065000,2017,636
012415065000,2018,3091
012415065000,2019,1941
012415065000,2020,653
012415068000,2005,47
012415068000,2006,132
012415068000,2007,281
012415068000,2008,240
012415068000,2009,126
012415068000,2010,192
012415068000,2011,197
012415068000,2012,178
012415068000,2013,119
012415068000,2014,202
012415068000,2015,280
012415068000,2016,206
012415068000,2017,300
012415068000,2018,303
012415068000,2019,354
012415068000,2020,75
012415075000,2005,2472
012415075000,2006,1219
012415075000,2007,2305
012415075000,2008,1000
012415075000,2009,454
012415075000,2010,792
012415075000,2011,447
012415075000,2012,179
012415075000,2013,214
012415075000,2014,409
012415075000,2015,414
012415075000,2016,375
012415075000,2017,660
012415075000,2018,683
012415075000,2019,545
012415075000,2020,275
012415108000,2005,42
012415108000,2006,28
012415108000,2007,44
012415108000,2008,55
012415108000,2009,76
012415108000,2010,75
012415108000,2011,44
012415108000,2012,66
012415108000,2013,61
012415108000,2014,85
012415108000,2015,133
012415108000,2016,98
012415108000,2017,281
012415108000,2018,203
012415108000,2019,194
012415108000,2020,50
012415110000,2005,127
012415110000,2006,95
012415110000,2007,79
012415110000,2008,56
012415110000,2009,87
012415110000,2010,132
012415110000,2011,287
012415110000,2012,154
012415110000,2013,196
012415110000,2014,243
012415110000,2015,321
012415110000,2016,234
012415110000,2017,335
012415110000,2018,277
012415110000,2019,195
012415110000,2020,29
012415114000,2005,0
012415114000,2006,14
012415114000,2007,4
012415114000,2008,3
012415114000,2009,36
012415114000,2010,14
012415114000,2011,8
012415114000,2012,24
012415114000,2013,6
012415114000,2014,44
012415114000,2015,10
012415114000,2016,123
012415114000,2017,109
012415114000,2018,35
012415114000,2019,33
012415114000,2020,14
012415177000,2005,336
012415177000,2006,423
012415177000,2007,616
012415177000,2008,744
012415177000,2009,685
012415177000,2010,587
012415177000,2011,1027
012415177000,2012,788
012415177000,2013,1000
012415177000,2014,917
012415177000,2015,1180
012415177000,2016,1121
012415177000,2017,972
012415177000,2018,1122
012415177000,2019,1195
012415177000,2020,176
020811301000,2005,113
020811301000,2006,129
020811301000,2007,161
020811301000,2008,117
020811301000,2009,85
020811301000,2010,116
020811301000,2011,85
020811301000,2012,140
020811301000,2013,204
020811301000,2014,212
020811301000,2015,352
020811301000,2016,229
020811301000,2017,234
020811301000,2018,549
020811301000,2019,1144
020811301000,2020,209
020811303000,2005,42
020811303000,2006,80
020811303000,2007,227
020811303000,2008,647
020811303000,2009,247
020811303000,2010,133
020811303000,2011,118
020811303000,2012,140
020811303000,2013,44
020811303000,2014,48
020811303000,2015,94
020811303000,2016,59
020811303000,2017,106
020811303000,2018,175
020811303000,2019,185
020811303000,2020,87
020811305000,2005,806
020811305000,2006,570
020811305000,2007,843
020811305000,2008,549
020811305000,2009,907
020811305000,2010,331
020811305000,2011,407
020811305000,2012,548
020811305000,2013,422
020811305000,2014,457
020811305000,2015,329
020811305000,2016,432
020811305000,2017,901
020811305000,2018,742
020811305000,2019,1366
020811305000,2020,1190
020811306000,2005,2
020811306000,2006,3
020811306000,2007,72
020811306000,2008,57
020811306000,2009,27
020811306000,2010,38
020811306000,2011,59
020811306000,2012,41
020811306000,2013,55
020811306000,2014,44
020811306000,2015,59
020811306000,2016,110
020811306000,2017,80
020811306000,2018,46
020811306000,2019,34
020811306000,2020,3
020811307000,2005,222
020811307000,2006,539
020811307000,2007,556
020811307000,2008,262
020811307000,2009,222
020811307000,2010,175
020811307000,2011,208
020811307000,2012,207
020811307000,2013,159
020811307000,2014,364
020811307000,2015,427
020811307000,2016,266
020811307000,2017,289
020811307000,2018,123
020811307000,2019,238
020811307000,2020,87
020811361000,2005,247
020811361000,2006,355
020811361000,2007,409
020811361000,2008,1142
020811361000,2009,684
020811361000,2010,956
020811361000,2011,500
020811361000,2012,746
020811361000,2013,710
020811361000,2014,805
020811361000,2015,1111
020811361000,2016,1495
020811361000,2017,1479
020811361000,2018,1088
